    PID    PPID STAT     ELAPSED COMMAND
    154       2 I<      15:40:50 [kworker/22:0H-kblockd]
    155       2 S       15:40:50 [cpuhp/23]
    156       2 S       15:40:50 [idle_inject/23]
    157       2 S       15:40:50 [migration/23]
    158       2 S       15:40:50 [ksoftirqd/23]
    159       2 I       15:40:50 [kworker/23:0-events_freezable]
    160       2 I<      15:40:50 [kworker/23:0H-kblockd]
    161       2 S       15:40:50 [cpuhp/24]
    162       2 S       15:40:50 [idle_inject/24]
    163       2 S       15:40:50 [migration/24]
    164       2 S       15:40:50 [ksoftirqd/24]
    166       2 I<      15:40:50 [kworker/24:0H-kblockd]
    167       2 S       15:40:50 [cpuhp/25]
    168       2 S       15:40:50 [idle_inject/25]
    169       2 S       15:40:50 [migration/25]
    170       2 S       15:40:50 [ksoftirqd/25]
    172       2 I<      15:40:50 [kworker/25:0H-kblockd]
    173       2 S       15:40:50 [cpuhp/26]
    174       2 S       15:40:50 [idle_inject/26]
    175       2 S       15:40:50 [migration/26]
    176       2 S       15:40:50 [ksoftirqd/26]
    178       2 I<      15:40:50 [kworker/26:0H-kblockd]
    179       2 S       15:40:50 [cpuhp/27]
    180       2 S       15:40:50 [idle_inject/27]
    181       2 S       15:40:50 [migration/27]
    182       2 S       15:40:50 [ksoftirqd/27]
    183       2 I       15:40:50 [kworker/27:0-cgroup_release]
    184       2 I<      15:40:50 [kworker/27:0H-kblockd]
    185       2 S       15:40:50 [cpuhp/28]
    186       2 S       15:40:50 [idle_inject/28]
    187       2 S       15:40:50 [migration/28]
    188       2 S       15:40:50 [ksoftirqd/28]
    190       2 I<      15:40:50 [kworker/28:0H-kblockd]
    191       2 S       15:40:50 [cpuhp/29]
    192       2 S       15:40:50 [idle_inject/29]
    193       2 S       15:40:50 [migration/29]
    194       2 S       15:40:50 [ksoftirqd/29]
    196       2 I<      15:40:50 [kworker/29:0H]
    197       2 S       15:40:50 [cpuhp/30]
    198       2 S       15:40:50 [idle_inject/30]
    199       2 S       15:40:50 [migration/30]
    200       2 S       15:40:50 [ksoftirqd/30]
    202       2 I<      15:40:50 [kworker/30:0H-kblockd]
    203       2 S       15:40:50 [cpuhp/31]
    204       2 S       15:40:50 [idle_inject/31]
    205       2 S       15:40:50 [migration/31]
    206       2 S       15:40:50 [ksoftirqd/31]
    208       2 I<      15:40:50 [kworker/31:0H-kblockd]
    211       2 S       15:40:50 [kdevtmpfs]
    212       2 I<      15:40:50 [kworker/R-inet_frag_wq]
    213       2 I       15:40:50 [rcu_tasks_kthread]
    214       2 I       15:40:50 [rcu_tasks_rude_kthread]
    215       2 S       15:40:50 [kauditd]
    216       2 S       15:40:50 [khungtaskd]
    217       2 S       15:40:50 [oom_reaper]
    220       2 I<      15:40:50 [kworker/R-writeback]
    221       2 S       15:40:50 [kcompactd0]
    222       2 SN      15:40:50 [ksmd]
    223       2 SN      15:40:50 [khugepaged]
    224       2 I<      15:40:50 [kworker/R-kblockd]
    225       2 I<      15:40:50 [kworker/R-blkcg_punt_bio]
    226       2 I<      15:40:50 [kworker/R-kintegrityd]
    227       2 S       15:40:50 [irq/9-acpi]
    229       2 I<      15:40:50 [kworker/R-tpm_dev_wq]
    230       2 I<      15:40:50 [kworker/R-ata_sff]
    231       2 I<      15:40:50 [kworker/R-md_bitmap]
    232       2 I<      15:40:50 [kworker/R-md_llbitmap_io]
    233       2 I<      15:40:50 [kworker/R-md_llbitmap_unplug]
    234       2 I<      15:40:50 [kworker/R-edac-poller]
    236       2 I<      15:40:50 [kworker/R-devfreq_wq]
    237       2 S       15:40:50 [watchdogd]
    239       2 I<      15:40:50 [kworker/R-quota_events_unbound]
    240       2 S       15:40:50 [irq/27-AMD-Vi]
    241       2 S       15:40:50 [kswapd0]
    242       2 S       15:40:50 [ecryptfs-kthread]
    243       2 I<      15:40:50 [kworker/R-kthrotld]
    244       2 I<      15:40:50 [kworker/u131:0]
    245       2 I<      15:40:50 [kworker/R-acpi_thermal_pm]
    246       2 I       15:40:50 [kworker/18:1-events]
    247       2 I<      15:40:50 [kworker/R-mld]
    248       2 I<      15:40:50 [kworker/R-ipv6_addrconf]
    249       2 I<      15:40:50 [kworker/R-kstrp]
    262       2 I       15:40:50 [kworker/21:1-mm_percpu_wq]
    264       2 I       15:40:50 [kworker/28:1-events]
    280       2 I<      15:40:50 [kworker/R-charger_manager]
    281       2 S       15:40:50 [irq/28-ACPI:Event]
    282       2 S       15:40:50 [irq/29-ACPI:Event]
    283       2 S       15:40:50 [irq/30-ACPI:Event]
    284       2 S       15:40:50 [irq/31-ACPI:Event]
    285       2 S       15:40:50 [irq/32-ACPI:Event]
    286       2 S       15:40:50 [irq/33-ACPI:Event]
    287       2 S       15:40:50 [irq/34-ACPI:Event]
    288       2 S       15:40:50 [irq/35-ACPI:Event]
    433       2 I       15:40:49 [kworker/13:1-mm_percpu_wq]
    462       2 I       15:40:49 [kworker/26:1-mm_percpu_wq]
    481       2 I       15:40:49 [kworker/29:1-events]
    482       2 I       15:40:49 [kworker/27:1-mm_percpu_wq]
    581       2 I<      15:40:49 [kworker/R-nvme-wq]
    582       2 I<      15:40:49 [kworker/R-nvme-reset-wq]
    584       2 I<      15:40:49 [kworker/R-nvme-delete-wq]
    585       2 I<      15:40:49 [kworker/R-nvme-auth-wq]
    690       2 I<      15:40:48 [kworker/R-kdmflush/252:0]
    724       2 I<      15:40:48 [kworker/11:1H-kblockd]
    729       2 S       15:40:48 [jbd2/dm-0-8]
    730       2 I<      15:40:48 [kworker/R-ext4-rsv-conversion]
    828       2 S       15:40:47 [psimon]
    838       1 S<s     15:40:47 /usr/lib/systemd/systemd-journald
    850       2 I<      15:40:47 [kworker/5:1H-kblockd]
    861       2 I<      15:40:47 [kworker/R-kmpathd]
    862       2 I<      15:40:47 [kworker/R-kmpath_handlerd]
    880       1 SLsl    15:40:47 /usr/sbin/multipathd -d -s
    883       1 Ss      15:40:47 /usr/lib/systemd/systemd-resolved
    885       2 I<      15:40:47 [kworker/3:1H-kblockd]
    888       2 I<      15:40:47 [kworker/23:1H-kblockd]
    889       2 I<      15:40:47 [kworker/20:1H-kblockd]
    892       2 I<      15:40:47 [kworker/6:1H-kblockd]
    893       2 I<      15:40:47 [kworker/22:1H-kblockd]
    894       2 I<      15:40:47 [kworker/4:1H-kblockd]
    898       1 Ss      15:40:47 /usr/lib/systemd/systemd-udevd
    907       2 I<      15:40:47 [kworker/0:1H-kblockd]
    909       2 I<      15:40:47 [kworker/16:1H-kblockd]
    910       2 I<      15:40:47 [kworker/1:1H-kblockd]
    911       2 I<      15:40:47 [kworker/17:1H-kblockd]
    913       2 S       15:40:47 [psimon]
   1139       2 I<      15:40:47 [kworker/R-notifier_wq]
   1514       2 I<      15:40:47 [kworker/18:1H-kblockd]
   1537       2 S       15:40:46 [jbd2/nvme0n1p2-8]
   1538       2 I<      15:40:46 [kworker/R-ext4-rsv-conversion]
   1561       2 I<      15:40:46 [kworker/R-amdgpu-reset-dev]
   1585       2 I<      15:40:46 [kworker/R-ttm]
   1621       1 Ss      15:40:46 /usr/sbin/rpcbind -f -w
   1756       1 Ss      15:40:46 /usr/lib/systemd/systemd-networkd
   1776       1 Ss      15:40:46 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
   1777       1 Ss      15:40:46 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1784       1 Ss      15:40:46 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   1785       1 Ssl     15:40:46 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   1798       1 Ss      15:40:46 /usr/lib/systemd/systemd-logind
   1799       1 Ssl     15:40:46 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
   1804       1 Ssl     15:40:46 /usr/libexec/udisks2/udisksd
   1816       2 I<      15:40:46 [kworker/14:1H-kblockd]
   1850       2 I<      15:40:46 [kworker/30:1H-kblockd]
   1896    1776 S       15:40:46 /usr/sbin/chronyd -n -F 1
   1901       2 I<      15:40:46 [kworker/R-cfg80211]
   1903       2 I<      15:40:46 [kworker/2:1H-kblockd]
   1917       1 Ssl     15:40:46 /usr/sbin/rsyslogd -n -iNONE
   1939    1896 S       15:40:46 /usr/sbin/chronyd -n -F 1
   1944       1 Ss      15:40:46 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1948       1 Ssl     15:40:46 /usr/sbin/ModemManager
   1950       1 Ssl     15:40:46 /usr/libexec/boltd
   1972       2 I<      15:40:46 [kworker/R-tls-strp]
   1973       2 I<      15:40:46 [kworker/7:1H-kblockd]
   1974       2 I<      15:40:46 [kworker/R-bond0]
   1994       1 Ssl     15:40:46 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2017       2 I<      15:40:46 [kworker/21:1H-kblockd]
   2038       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2039       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2040       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2041       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2042       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2043       2 I<      15:40:45 [kworker/R-dm_vblank_control_workqueue]
   2044       2 S       15:40:45 [card0-crtc0]
   2045       2 S       15:40:45 [card0-crtc1]
   2046       2 S       15:40:45 [card0-crtc2]
   2047       2 S       15:40:45 [card0-crtc3]
   2048       2 I<      15:40:45 [kworker/R-gfx_0.0.0]
   2049       2 I<      15:40:45 [kworker/R-comp_1.0.0]
   2050       2 I<      15:40:45 [kworker/R-comp_1.1.0]
   2051       2 I<      15:40:45 [kworker/R-comp_1.2.0]
   2052       2 I<      15:40:45 [kworker/R-comp_1.3.0]
   2053       2 I<      15:40:45 [kworker/R-comp_1.0.1]
   2054       2 I<      15:40:45 [kworker/R-comp_1.1.1]
   2055       2 I<      15:40:45 [kworker/R-comp_1.2.1]
   2056       2 I<      15:40:45 [kworker/R-comp_1.3.1]
   2057       2 I<      15:40:45 [kworker/R-sdma0]
   2058       2 I<      15:40:45 [kworker/R-sdma1]
   2059       2 I<      15:40:45 [kworker/R-vcn_unified_0]
   2060       2 I<      15:40:45 [kworker/R-vcn_unified_1]
   2061       2 I<      15:40:45 [kworker/R-jpeg_dec]
   2062       2 I<      15:40:45 [kworker/R-amdgpu-reset-dev]
   2064       2 I<      15:40:45 [kworker/R-ttm]
   2092       2 I<      15:40:45 [kworker/R-rpciod]
   2093       2 I<      15:40:45 [kworker/R-xprtiod]
   2254       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2255       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2256       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2257       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2258       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2259       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2260       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2261       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2262       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2263       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2264       2 I<      15:40:45 [kworker/R-dm_vblank_control_workqueue]
   2265       2 I<      15:40:45 [kworker/R-amdgpu_dm_hpd_wq]
   2266       2 S       15:40:45 [card1-crtc0]
   2267       2 S       15:40:45 [card1-crtc1]
   2268       2 S       15:40:45 [card1-crtc2]
   2269       2 S       15:40:45 [card1-crtc3]
   2270       2 I<      15:40:45 [kworker/R-gfx_0.0.0]
   2271       2 I<      15:40:45 [kworker/R-comp_1.0.0]
   2272       2 I<      15:40:45 [kworker/R-comp_1.1.0]
   2273       2 I<      15:40:45 [kworker/R-comp_1.2.0]
   2274       2 I<      15:40:45 [kworker/R-comp_1.3.0]
   2275       2 I<      15:40:45 [kworker/R-comp_1.0.1]
   2276       2 I<      15:40:45 [kworker/R-comp_1.1.1]
   2277       2 I<      15:40:45 [kworker/R-comp_1.2.1]
   2278       2 I<      15:40:45 [kworker/R-comp_1.3.1]
   2279       2 I<      15:40:45 [kworker/R-sdma0]
   2280       2 I<      15:40:45 [kworker/R-vcn_unified_0]
   2281       2 I<      15:40:45 [kworker/R-vcn_unified_1]
   2282       2 I<      15:40:45 [kworker/R-jpeg_dec_0]
   2283       2 I<      15:40:45 [kworker/R-jpeg_dec_1]
   2284       2 I<      15:40:45 [kworker/R-vpe]
   2293       2 I<      15:40:45 [kworker/27:1H-kblockd]
   2353       2 I<      15:40:45 [kworker/9:1H-kblockd]
   2355       2 I<      15:40:45 [kworker/25:1H-kblockd]
   2414       2 I<      15:40:44 [kworker/R-amdgpu-reset-dev]
   2415       2 I<      15:40:44 [kworker/R-ttm]
   2428       2 I<      15:40:42 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2429       2 I<      15:40:42 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2430       2 I<      15:40:42 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2431       2 I<      15:40:42 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2432       2 I<      15:40:42 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2433       2 I<      15:40:42 [kworker/R-dm_vblank_control_workqueue]
   2434       2 S       15:40:42 [card2-crtc0]
   2435       2 S       15:40:42 [card2-crtc1]
   2436       2 S       15:40:42 [card2-crtc2]
   2437       2 S       15:40:42 [card2-crtc3]
   2438       2 S       15:40:42 [card2-crtc4]
   2439       2 S       15:40:42 [card2-crtc5]
   2440       2 I<      15:40:42 [kworker/R-gfx_0.0.0]
   2441       2 I<      15:40:42 [kworker/R-gfx_0.1.0]
   2442       2 I<      15:40:42 [kworker/R-comp_1.0.0]
   2443       2 I<      15:40:42 [kworker/R-comp_1.1.0]
   2444       2 I<      15:40:42 [kworker/R-comp_1.2.0]
   2445       2 I<      15:40:42 [kworker/R-comp_1.3.0]
   2446       2 I<      15:40:42 [kworker/R-comp_1.0.1]
   2447       2 I<      15:40:42 [kworker/R-comp_1.1.1]
   2448       2 I<      15:40:42 [kworker/R-comp_1.2.1]
   2449       2 I<      15:40:42 [kworker/R-comp_1.3.1]
   2450       2 I<      15:40:42 [kworker/R-sdma0]
   2451       2 I<      15:40:42 [kworker/R-sdma1]
   2452       2 I<      15:40:42 [kworker/R-sdma2]
   2453       2 I<      15:40:42 [kworker/R-sdma3]
   2454       2 I<      15:40:42 [kworker/R-vcn_dec_0]
   2455       2 I<      15:40:42 [kworker/R-vcn_enc_0.0]
   2456       2 I<      15:40:42 [kworker/R-vcn_enc_0.1]
   2457       2 I<      15:40:42 [kworker/R-vcn_dec_1]
   2458       2 I<      15:40:42 [kworker/R-vcn_enc_1.0]
   2459       2 I<      15:40:42 [kworker/R-vcn_enc_1.1]
   2460       2 I<      15:40:42 [kworker/R-jpeg_dec]
   2466       2 I<      15:40:41 [kworker/R-amdgpu-reset-dev]
   2489       2 I<      15:40:41 [kworker/R-ttm]
   2490       2 I<      15:40:41 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2491       2 I<      15:40:41 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2492       2 I<      15:40:41 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2493       2 I<      15:40:41 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   2494       2 I<      15:40:41 [kworker/R-dm_vblank_control_workqueue]
   2495       2 S       15:40:41 [card3-crtc0]
   2496       2 S       15:40:41 [card3-crtc1]
   2497       2 S       15:40:41 [card3-crtc2]
   2498       2 S       15:40:41 [card3-crtc3]
   2499       2 S       15:40:41 [card3-crtc4]
   2500       2 S       15:40:41 [card3-crtc5]
   2501       2 I<      15:40:41 [kworker/R-gfx_0.0.0]
   2502       2 I<      15:40:41 [kworker/R-comp_1.0.0]
   2503       2 I<      15:40:41 [kworker/R-comp_1.1.0]
   2504       2 I<      15:40:41 [kworker/R-comp_1.2.0]
   2505       2 I<      15:40:41 [kworker/R-comp_1.3.0]
   2506       2 I<      15:40:41 [kworker/R-comp_1.0.1]
   2507       2 I<      15:40:41 [kworker/R-comp_1.1.1]
   2508       2 I<      15:40:41 [kworker/R-comp_1.2.1]
   2509       2 I<      15:40:41 [kworker/R-comp_1.3.1]
   2510       2 I<      15:40:41 [kworker/R-sdma0]
   2511       2 I<      15:40:41 [kworker/R-sdma1]
   2512       2 I<      15:40:41 [kworker/R-vcn_dec]
   2513       2 I<      15:40:41 [kworker/R-vcn_enc0]
   2514       2 I<      15:40:41 [kworker/R-vcn_enc1]
   2515       2 I<      15:40:41 [kworker/R-jpeg_dec]
   2522       1 Ss      15:40:41 /bin/bash /home/kaden/actions-runner/runsvc.sh
   2531    2522 Sl      15:40:41 ./externals/node20/bin/node ./bin/RunnerService.js
   2532       2 I<      15:40:41 [kworker/R-nfsiod]
   2541    2531 Sl      15:40:41 /home/kaden/actions-runner/bin/Runner.Listener run --startuptype service
   2543       2 I       15:40:41 [NFSv4 callback]
   2556       1 Ss      15:40:41 /usr/sbin/cron -f -P
   2567       1 Ss+     15:40:41 /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d - linux
   2590       2 I<      15:40:41 [kworker/8:1H-kblockd]
   2594       2 I<      15:40:41 [kworker/24:1H-kblockd]
   2669       2 I<      15:40:40 [kworker/12:1H-kblockd]
   2743       2 I<      15:40:39 [kworker/31:1H-kblockd]
   2814       1 Ssl     15:40:20 /usr/local/sbin/gpusentry
   2835       1 Ss      15:40:20 /bin/sh /usr/local/sbin/egpu-statuslamp.sh
   3722       2 I<      15:39:18 [kworker/19:1H-kblockd]
   4933       2 I<      15:34:53 [kworker/10:1H-kblockd]
   5122       2 I<      15:34:29 [kworker/15:1H-kblockd]
   5127       2 I<      15:34:28 [kworker/u133:1-ttm]
   5190       2 I       15:34:18 [kworker/18:2-cgroup_free]
   5335       2 I       15:33:48 [kworker/28:2-cgroup_bpf_destroy]
   5695       2 I<      15:33:01 [kworker/13:1H-kblockd]
   6162       2 I       15:31:44 [kworker/30:3-mm_percpu_wq]
   8463       2 I       15:25:00 [kworker/15:0-cgroup_bpf_destroy]
   9533       2 I<      15:22:35 [kworker/29:1H-kblockd]
  10096       2 I       15:20:30 [kworker/23:1]
  10159       2 I       15:20:19 [kworker/26:0-cgroup_free]
  10926       2 D<      15:17:52 [kworker/u132:9+ttm]
  11937       2 D<      15:16:16 [kworker/u132:15+ttm]
  14102       2 I       15:11:17 [kworker/22:2-events]
  29304       1 Ssl     14:09:47 /usr/libexec/fwupd/fwupd
  29314       1 Ssl     14:09:47 /usr/libexec/upowerd
  31584       2 I<      14:00:37 [kworker/28:1H-kblockd]
  69762       2 I       11:25:45 [kworker/8:0-cgroup_bpf_destroy]
  69763       2 I       11:25:45 [kworker/7:2-events]
  79643       2 I       10:45:38 [kworker/9:0-events]
  94413       2 I       09:45:38 [kworker/25:1-events]
 117777       2 I       08:10:38 [kworker/2:2-mm_percpu_wq]
 121530       2 I       07:55:46 [kworker/14:0-cgroup_release]
 124037       2 I       07:45:38 [kworker/10:2-cgroup_bpf_destroy]
 125384       1 Ss      07:40:08 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
 133878       2 I       07:05:38 [kworker/5:1-memcg]
 140373       2 I       06:39:54 [kworker/3:0-memcg]
 140379    1799 Sl      06:39:53 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,30,44,46,100,101,991 --local-user=kaden --home-dir=/home/kaden --remote-user=k9pilot44@gmail.com --remote-ip=100.80.109.14 --has-tty=false --tty-name= --force-v1-behavior --sftp --cmd=/usr/sbin/tailscaled be-child sftp
 140393       1 Ss      06:39:53 /usr/lib/systemd/systemd --user
 140395  140393 S       06:39:53 (sd-pam)
 140522       1 Ssl     06:39:52 /home/kaden/.claude/remote/srv/3ef9370ec5b07a0e728ca5de4137d450e95eb2b6/server --serve --socket /home/kaden/.claude/remote/run/36931cb2/rpc.sock --token-file /home/kaden/.claude/remote/run/36931cb2/token.b4c987d36d4b08a6
 140530    1799 Sl      06:39:52 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,30,44,46,100,101,991 --local-user=kaden --home-dir=/home/kaden --remote-user=k9pilot44@gmail.com --remote-ip=100.80.109.14 --has-tty=false --tty-name= --force-v1-behavior --cmd='/home/kaden/.claude/remote/srv/3ef9370ec5b07a0e728ca5de4137d450e95eb2b6/server' '--bridge' '--socket' '/home/kaden/.claude/remote/run/36931cb2/rpc.sock'
 140537  140530 Sl      06:39:52 /home/kaden/.claude/remote/srv/3ef9370ec5b07a0e728ca5de4137d450e95eb2b6/server --bridge --socket /home/kaden/.claude/remote/run/36931cb2/rpc.sock
 140658       2 I       06:39:34 [kworker/u130:0-events_power_efficient]
